Species	ID	Individuals	BrancheDiam	Cortex	Medulle	AxeCentral	AxeMedulle	AxeCortex	MedulleCortex
dasopoga	D77	77	0.9	10.5	24.5	30.0	1.2	2.9	2.3
dasopoga	D78	78	1.2	11.5	18.5	40.0	2.2	3.5	1.6
dasopoga	D79	79	1.5	8.0	25.5	33.0	1.3	4.1	3.2
dasopoga	D80	80	1.3	9.0	12.5	57.0	4.5	6.3	1.4
dasopoga	D81	81	1.5	8.5	24.0	34.0	1.4	4.0	2.8
dasopoga	D82	82	1.4	8.5	16.5	50.0	3.0	5.9	1.9
dasopoga	D83	83	1.0	10.0	13.5	41.0	2.1	4.1	1.4
dasopoga	D84	84	1.4	9.5	26.0	30.0	1.1	3.2	2.7
dasopoga	D85	85	1.3	8.0	20.5	43.0	2.1	5.4	2.6
dasopoga	D86	86	1.6	11.5	16.0	44.0	2.7	3.8	1.4
dasopoga	D87	87	1.4	9.5	23.0	35.0	1.5	3.7	2.4
dasopoga	D88	88	1.1	10.0	20.5	39.0	1.9	3.9	2.1
dasopoga	D89	89	1.2	14.5	12.5	47.0	3.8	3.2	0.9
dasopoga	D90	90	1.6	9.5	20.0	40.0	2.0	4.2	2.1
dasopoga	D91	91	1.2	8.0	20.5	43.0	2.1	5.4	2.6
dasopoga	D92	92	1.4	9.5	15.5	50.0	3.2	5.3	1.6
dasopoga	D93	93	1.3	9.0	12.0	58.0	4.8	6.4	1.3
dasopoga	D94	94	1.2	10.0	13.0	54.0	4.2	5.4	1.3
dasopoga	D95	95	1.2	8.5	20.0	43.0	2.1	5.1	2.4
dasopoga	D96	96	1.2	10.5	24.0	31.0	1.3	3.0	2.3
dasopoga	D97	97	1.5	10.0	26.0	28.0	1.1	2.8	2.6
dasopoga	D98	98	1.0	8.5	23.0	37.0	1.6	4.4	2.7
dasopoga	D99	99	1.3	8.5	14.0	55.0	4.0	6.5	1.6
dasopoga	D100	100	1.3	7.5	18.0	49.0	2.8	6.5	2.4
dasopoga	D101	101	0.9	14.0	18.5	35.0	1.9	2.5	1.3
dasopoga	D102	102	1.0	10.0	25.5	29.0	1.1	2.9	2.6
dasopoga	D103	103	0.7	10.0	23.5	34.0	1.4	3.4	2.4
dasopoga	D104	104	0.6	8.0	19.0	46.0	2.5	5.8	2.4
dasopoga-PC	FIL36	4	1.2	9.5	23.5	34.0	1.4	3.6	2.5
dasopoga-PC	CHE17	5	1.0	10.5	19.5	39.0	2.0	3.7	1.9
dasopoga-PC	SBS06	6	1.0	10.5	16.5	46.0	2.8	4.4	1.6
dasopoga-PC	DIP06	12	1.0	10.0	15.0	50.0	3.3	5.0	1.5
dasopoga-PC	DIP09	13	1.1	9.0	19.0	44.0	2.4	4.9	2.1
dasopoga-PC	BAR08	17	1.2	8.5	26.5	30.0	1.1	3.5	3.1
dasopoga-PC	CHE16	1	0.8	12.0	16.0	44.0	2.8	3.7	1.3
dasopoga-PC	HES03	2	1.1	9.0	22.5	36.0	1.6	4.0	2.5
dasopoga-PC	CHE15	3	0.8	12.0	19.0	38.0	2.0	3.2	1.6
dasopoga-PC	BAR18	7	0.8	10.5	21.5	36.0	1.7	3.4	2.0
dasopoga-PC	DIP07	8	1.1	9.5	19.0	43.0	2.3	4.5	2.0
dasopoga-PC	CHE07	9	0.9	9.0	21.0	39.0	1.9	4.3	2.3
dasopoga-PC	DIP11	10	1.1	8.5	13.5	55.0	4.0	6.5	1.6
dasopoga-PC	BAR05	11	1.1	7.5	17.0	51.0	3.0	6.8	2.3
dasopoga-PC	BAR16	14	0.5	9.5	28.5	24.0	0.8	2.5	3.0
dasopoga-PC	BAR07	15	0.5	11.0	23.5	31.0	1.3	2.8	2.1
dasopoga-PC	DIP2	16	0.9	12.0	13.0	50.0	3.8	4.2	1.1
dasopoga-PC	CHE09	18	1.0	8.0	20.0	44.0	2.2	5.5	2.5
dasopoga-PC	FIL05	19	0.6	9.5	18.0	45.0	2.5	4.7	1.9
barbata-PC	BAR11	1	1.4	6.0	30.5	27.0	0.9	4.5	5.1
barbata-PC	BAR30	2	0.8	5.5	22.5	45.0	2.0	8.2	4.1
barbata-PC	BAR31	3	1.0	7.5	19.0	47.0	2.4	6.3	2.5
barbata-PC	BAR17	4	1.1	5.0	21.5	47.0	2.2	9.4	4.3
barbata-PC	BAR13	5	0.7	5.0	23.5	43.0	1.9	8.6	4.7
barbata-PC	FIL37	6	1.4	5.0	24.0	41.0	1.7	8.2	4.8
barbata-PC	BAR37	7	1.0	5.0	30.5	29.0	0.9	5.8	6.1
barbata-PC	BAR26	8	1.1	5.5	30.5	27.0	0.9	4.9	5.5
barbata-PC	BAR19	9	1.3	3.0	28.5	37.0	1.3	12.3	9.5
barbata-PC	CHE14	10	0.9	5.5	23.5	42.0	1.8	7.6	4.3
barbata-PC	BAR6	11	0.9	6.5	29.5	30.0	1.0	4.6	4.5
